roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
14.22,21.63,Europe Large-Cap Blend Equity,4,3,273.61,9.24,2.84,-1.68,0.92,0,445,0.21569,1329960000
12.47,20.47,Eurozone Large-Cap Equity,4,3,266.59,7.57,4.65,1.07,3.19,0,152,0.3,112850000
9.77,21.96,Germany Equity,1,3,233.55,6.08,2.55,-13.95,-2.63,0,25,0.30044,351420000
10.77,23.22,Pacific ex-Japan Equity,2,2,305.49,9.24,4.72,-6.92,1.21,0.28,132,0.6,209790000
9.66,31,Global Emerging Markets Small/Mid-Cap Equity,3,3,106.92,5.38,3.32,0.43,-0.34,0.67,1575,0.74,237150000
16.8,22.26,Europe Large-Cap Blend Equity,3,1,333.62,10.03,3.48,-3.93,2.13,0,50,0.19357,33509999
10.87,19.95,Eurozone Large-Cap Equity,3,4,312.85,9.18,2.71,-2.63,2.51,0,105,0.05,319860000
14.61,21.67,Europe Large-Cap Blend Equity,4,3,273.09,9.27,2.81,-1.95,1.07,0,466,0.19,266200000
13.64,21.58,Europe Mid-Cap Equity,2,2,191.21,8.22,2.53,1.85,1.26,0,120,0.35,5850000
10.46,21.87,Europe Mid-Cap Equity,3,3,149.42,8.48,2.34,-0.08,2.66,0,299,0.35,3250000
12.47,24.06,UK Large-Cap Equity,3,2,266.78,7.62,4.04,-6.68,1.81,0.04,133,0.24,10260000
11.29,22.79,UK Mid-Cap Equity,3,2,130.3,7.37,2.66,-10.03,2.45,0.75,192,0.22,79220000
14.79,21.91,Europe Large-Cap Blend Equity,4,2,281.78,8.93,2.88,-0.25,1.39,0,382,0.19,250480000
8.84,23.95,Japan Large-Cap Equity,3,2,286.67,8.39,2.74,-3.64,3.34,0,457,0.24,5380000
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,461,0.05,1557050000
21.02,22.78,Global Large-Cap Blend Equity,4,3,291.88,11.7,2.27,4.5,4.15,0,1163,0.19,2272070000
-1.58,29.35,US Small-Cap Equity,3,3,28.74,7.62,1.67,2.66,3.56,0,1525,0.45,40760000
13.38,20.79,Europe Mid-Cap Equity,3,2,196.59,9.15,2.21,1.96,1.43,0,239,0.3054,11950000
14.32,21.91,Europe Large-Cap Blend Equity,4,2,280.96,8.76,2.93,-1.26,1.14,0,434,0.30526,352040000
8.79,23.94,Japan Large-Cap Equity,3,2,286.51,8.44,2.74,-3.99,3.55,0,318,0.52121,17165450000
8,26.18,Japan Small/Mid-Cap Equity,2,2,205.63,9.84,2.59,-5.85,2.72,0,199,0.5068,300470000
25.24,22.76,US Large-Cap Blend Equity,4,3,295.01,13.49,1.87,10.8,6.98,0,614,0.30866,4.78E+08
10.76,23.62,US Mid-Cap Equity,4,2,157.67,11.18,1.74,14.88,6.13,0,325,0.30345,23370000
22.14,23,Global Large-Cap Blend Equity,5,3,293.51,12.27,2.24,5.25,5.04,0,927,0.35,222780000
10.49,23.38,Eurozone Small-Cap Equity,3,3,109.83,6.19,2.62,-3,-5.41,0.85,431,0.58,639110000
10.06,22.04,UK Small-Cap Equity,2,3,109,6.88,2.9,-5.77,2.83,0.25,237,0.58,213580000
2.42,27.04,US Small-Cap Equity,3,3,64.41,7.87,1.81,4.48,4.47,0.46,1701,0.43,595480000
2.66,25.79,Sector Equity Consumer Goods & Services,1,5,263.49,4.19,0.71,-7.77,2.22,0,408,0.3,26450000
3.85,25.81,Sector Equity Financial Services,1,5,245.25,-0.666,1.36,-4.01,-9.53,0,252,0.3,13480000
11.41,28.03,Sector Equity Industrial Materials,2,5,244.54,6.52,4.65,6.27,4.8,0,42,0.3,12300000
8.91,19.68,Sector Equity Industrial Materials,4,3,268.84,8.76,3.32,-13.21,1.07,0,99,0.3,5620000
13.51,23.5,Sector Equity Industrial Materials,2,4,234.04,7.69,2.3,14.62,4.92,0,-108,0.3,5150000
16.5,20.34,Sector Equity Financial Services,4,3,235.45,2.32,2.63,17.03,-6.9,0,215,0.3,4280000
14.7,22.38,Sector Equity Consumer Goods & Services,3,2,293.74,14.46,2.33,0.64,2.98,0,42,0.3,9480000
22.5,24.87,Sector Equity Healthcare,2,3,299.89,13.4,2.4,-0.61,3.62,0,-90,0.3,23110000
15.45,22.12,Sector Equity Industrial Materials,3,4,245.06,11.41,1.51,7.67,4.48,0,-58,0.3,12660000
7.87,19.02,Sector Equity Financial Services,3,3,242.18,0.832,5.04,5,-0.21,0,-164,0.3,15700000
17.9,10.7,Sector Equity Communications,3,5,225.09,10.79,2.09,-2.05,4.75,0,-357,0.3,5790000
-2.28,26.9,Sector Equity Energy,4,3,260.59,5.5,8.17,-0.55,5.51,0,66,0.3,6570000
15.99,18.63,Sector Equity Consumer Goods & Services,3,3,306.7,14.82,2.52,-9.63,5.71,0,-26,0.3,11630000
